 ,,,,,,,,,,,"Any questions or errors you might have or find, please contact Sgt M. Martinez in Haymaker 4-2-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RANGE,"CHARGE ↓ , ΔELE →",00m,05m,10m,15m,20m,25m,30m,35m,40m,45m,50m,55m,60m,65m,70m,75m,80m,85m,90m,95m,100m,105m,110m,115m,120m,125m,130m,135m,140m,145m,150m,155m,160m,165m,170m,175m,180m,185m,190m,195m,200m,205m,ETA
50m,70 m/s C0,87.13,87.11,87.10,87.08,87.07,87.05,87.03,87.02,87.00,86.98,86.96,86.95,86.93,86.91,86.89,86.87,86.85,86.82,86.80,86.78,86.75,86.73,86.70,86.68,86.65,86.62,86.59,86.56,86.53,86.50,86.46,86.43,86.39,86.35,86.31,86.26,86.21,86.16,86.11,86.05,85.99,85.92,~14s
100m,70 m/s C0,84.23,84.20,84.17,84.14,84.10,84.07,84.04,84.01,83.97,83.94,83.90,83.87,83.83,83.79,83.75,83.71,83.67,83.62,83.58,83.53,83.49,83.44,83.39,83.33,83.28,83.22,83.17,83.11,83.04,82.98,82.91,82.84,82.76,82.68,82.60,82.51,82.42,82.31,82.21,82.09,81.97,81.83,~14s
150m,70 m/s C0,81.26,81.22,81.17,81.13,81.08,81.04,80.99,80.94,80.89,80.84,80.78,80.73,80.67,80.62,80.56,80.50,80.44,80.37,80.31,80.24,80.17,80.10,80.02,79.95,79.87,79.78,79.70,79.61,79.52,79.42,79.32,79.21,79.10,78.98,78.86,78.73,78.59,78.44,78.29,78.12,77.93,77.73,~14s
200m,70 m/s C0,78.20,78.14,78.08,78.02,77.96,77.90,77.84,77.77,77.71,77.64,77.57,77.50,77.43,77.35,77.28,77.20,77.12,77.03,76.95,76.86,76.77,76.67,76.58,76.48,76.37,76.27,76.15,76.04,75.92,75.79,75.66,75.52,75.38,75.23,75.07,74.90,74.72,74.53,74.32,74.10,73.87,73.61,~13s
250m,70 m/s C0,74.98,74.91,74.84,74.77,74.70,74.62,74.54,74.46,74.38,74.30,74.22,74.13,74.04,73.95,73.86,73.76,73.66,73.56,73.46,73.35,73.24,73.12,73.01,72.88,72.76,72.63,72.49,72.35,72.21,72.05,71.89,71.73,71.55,71.37,71.18,70.97,70.76,70.53,70.28,70.02,69.73,69.42,~13s
300m,70 m/s C0,71.54,71.46,71.38,71.29,71.21,71.12,71.03,70.94,70.84,70.75,70.65,70.55,70.44,70.34,70.23,70.12,70.00,69.88,69.76,69.64,69.51,69.38,69.24,69.10,68.95,68.80,68.64,68.48,68.31,68.14,67.95,67.76,67.56,67.35,67.12,66.89,66.64,66.38,66.09,65.79,65.46,65.11,~13s
350m,70 m/s C0,67.76,67.67,67.57,67.48,67.38,67.28,67.18,67.07,66.97,66.86,66.75,66.63,66.51,66.40,66.27,66.15,66.02,65.88,65.75,65.61,65.46,65.31,65.16,65.00,64.84,64.67,64.49,64.31,64.12,63.92,63.72,63.50,63.28,63.04,62.79,62.53,62.25,61.96,61.65,61.31,60.95,60.56,~13s
400m,70 m/s C0,63.40,63.29,63.19,63.08,62.98,62.87,62.75,62.64,62.52,62.40,62.28,62.15,62.02,61.89,61.76,61.62,61.48,61.33,61.18,61.03,60.87,60.70,60.54,60.36,60.18,60.00,59.80,59.60,59.40,59.18,58.96,58.72,58.48,58.22,57.95,57.67,57.37,57.05,56.71,56.35,55.96,55.53,~12s
450m,70 m/s C0,57.86,57.75,57.64,57.52,57.41,57.29,57.16,57.04,56.91,56.78,56.65,56.52,56.38,56.23,56.09,55.94,55.79,55.63,55.47,55.30,55.13,54.95,54.77,54.59,54.39,54.19,53.99,53.77,53.55,53.32,53.08,52.83,52.57,52.30,52.01,51.71,51.39,51.05,50.69,50.30,49.89,49.44,~12s
500m,140 m/s C1,82.75,82.74,82.74,82.73,82.72,82.71,82.70,82.69,82.68,82.67,82.66,82.65,82.64,82.63,82.62,82.62,82.61,82.60,82.59,82.58,82.57,82.56,82.55,82.54,82.53,82.52,82.51,82.50,82.49,82.48,82.47,82.45,82.44,82.43,82.42,82.41,82.40,82.39,82.38,82.37,82.36,82.35,~28s
550m,140 m/s C1,82.01,82.00,81.99,81.98,81.97,81.96,81.95,81.94,81.93,81.92,81.91,81.90,81.89,81.88,81.87,81.86,81.85,81.84,81.83,81.82,81.81,81.79,81.78,81.77,81.76,81.75,81.74,81.73,81.72,81.71,81.69,81.68,81.67,81.66,81.65,81.64,81.62,81.61,81.60,81.59,81.58,81.56,~28s
600m,140 m/s C1,81.26,81.25,81.24,81.23,81.22,81.21,81.20,81.19,81.18,81.16,81.15,81.14,81.13,81.12,81.11,81.10,81.09,81.07,81.06,81.05,81.04,81.03,81.02,81.00,80.99,80.98,80.97,80.96,80.94,80.93,80.92,80.91,80.89,80.88,80.87,80.86,80.84,80.83,80.82,80.80,80.79,80.78,~28s
650m,140 m/s C1,80.51,80.50,80.48,80.47,80.46,80.45,80.44,80.43,80.41,80.40,80.39,80.38,80.37,80.35,80.34,80.33,80.32,80.30,80.29,80.28,80.27,80.25,80.24,80.23,80.22,80.20,80.19,80.18,80.16,80.15,80.14,80.12,80.11,80.10,80.08,80.07,80.05,80.04,80.03,80.01,80.00,79.98,~28s
700m,140 m/s C1,79.75,79.73,79.72,79.71,79.70,79.68,79.67,79.66,79.65,79.63,79.62,79.61,79.59,79.58,79.57,79.55,79.54,79.53,79.51,79.50,79.49,79.47,79.46,79.45,79.43,79.42,79.40,79.39,79.38,79.36,79.35,79.33,79.32,79.30,79.29,79.28,79.26,79.25,79.23,79.22,79.20,79.18,~28s
750m,140 m/s C1,78.98,78.96,78.95,78.94,78.92,78.91,78.90,78.88,78.87,78.86,78.84,78.83,78.81,78.80,78.79,78.77,78.76,78.74,78.73,78.72,78.70,78.69,78.67,78.66,78.64,78.63,78.61,78.60,78.58,78.57,78.55,78.54,78.52,78.51,78.49,78.47,78.46,78.44,78.43,78.41,78.39,78.38,~28s
800m,140 m/s C1,78.20,78.18,78.17,78.16,78.14,78.13,78.11,78.10,78.08,78.07,78.06,78.04,78.03,78.01,78.00,77.98,77.97,77.95,77.94,77.92,77.91,77.89,77.88,77.86,77.84,77.83,77.81,77.80,77.78,77.76,77.75,77.73,77.72,77.70,77.68,77.67,77.65,77.63,77.62,77.60,77.58,77.56,~27s
850m,140 m/s C1,77.41,77.40,77.38,77.37,77.35,77.34,77.32,77.31,77.29,77.28,77.26,77.25,77.23,77.21,77.20,77.18,77.17,77.15,77.13,77.12,77.10,77.09,77.07,77.05,77.04,77.02,77.00,76.99,76.97,76.95,76.94,76.92,76.90,76.88,76.87,76.85,76.83,76.81,76.79,76.78,76.76,76.74,~27s
900m,140 m/s C1,76.61,76.60,76.58,76.57,76.55,76.54,76.52,76.50,76.49,76.47,76.46,76.44,76.42,76.41,76.39,76.37,76.36,76.34,76.32,76.31,76.29,76.27,76.25,76.24,76.22,76.20,76.18,76.17,76.15,76.13,76.11,76.09,76.08,76.06,76.04,76.02,76.00,75.98,75.96,75.95,75.93,75.91,~27s
950m,140 m/s C1,75.80,75.79,75.77,75.76,75.74,75.72,75.71,75.69,75.67,75.66,75.64,75.62,75.60,75.59,75.57,75.55,75.53,75.52,75.50,75.48,75.46,75.45,75.43,75.41,75.39,75.37,75.35,75.34,75.32,75.30,75.28,75.26,75.24,75.22,75.20,75.18,75.16,75.14,75.12,75.10,75.08,75.06,~27s
1000m,140 m/s C1,74.98,74.97,74.95,74.93,74.91,74.90,74.88,74.86,74.84,74.83,74.81,74.79,74.77,74.76,74.74,74.72,74.70,74.68,74.66,74.64,74.63,74.61,74.59,74.57,74.55,74.53,74.51,74.49,74.47,74.45,74.43,74.41,74.39,74.37,74.35,74.33,74.31,74.29,74.27,74.25,74.23,74.21,~27s
1050m,140 m/s C1,74.15,74.13,74.11,74.09,74.08,74.06,74.04,74.02,74.00,73.98,73.97,73.95,73.93,73.91,73.89,73.87,73.85,73.83,73.81,73.79,73.78,73.76,73.74,73.72,73.70,73.68,73.66,73.64,73.62,73.59,73.57,73.55,73.53,73.51,73.49,73.47,73.45,73.43,73.40,73.38,73.36,73.34,~27s
1100m,140 m/s C1,73.30,73.28,73.26,73.24,73.22,73.20,73.19,73.17,73.15,73.13,73.11,73.09,73.07,73.05,73.03,73.01,72.99,72.97,72.95,72.93,72.91,72.89,72.87,72.85,72.83,72.81,72.79,72.76,72.74,72.72,72.70,72.68,72.66,72.63,72.61,72.59,72.57,72.55,72.52,72.50,72.48,72.46,~27s
1150m,140 m/s C1,72.43,72.41,72.39,72.37,72.35,72.33,72.31,72.29,72.27,72.25,72.23,72.21,72.19,72.17,72.15,72.13,72.11,72.09,72.07,72.05,72.03,72.01,71.98,71.96,71.94,71.92,71.90,71.88,71.85,71.83,71.81,71.79,71.76,71.74,71.72,71.70,71.67,71.65,71.63,71.60,71.58,71.56,~27s
1200m,140 m/s C1,71.54,71.52,71.50,71.48,71.46,71.44,71.42,71.40,71.38,71.36,71.34,71.32,71.30,71.28,71.26,71.23,71.21,71.19,71.17,71.15,71.13,71.10,71.08,71.06,71.04,71.01,70.99,70.97,70.95,70.92,70.90,70.88,70.85,70.83,70.81,70.78,70.76,70.74,70.71,70.69,70.66,70.64,~27s
1250m,140 m/s C1,70.64,70.61,70.59,70.57,70.55,70.53,70.51,70.49,70.47,70.45,70.43,70.40,70.38,70.36,70.34,70.32,70.29,70.27,70.25,70.23,70.20,70.18,70.16,70.14,70.11,70.09,70.07,70.04,70.02,69.99,69.97,69.95,69.92,69.90,69.87,69.85,69.82,69.80,69.77,69.75,69.72,69.70,~26s
1300m,140 m/s C1,69.70,69.68,69.66,69.64,69.62,69.60,69.58,69.55,69.53,69.51,69.49,69.46,69.44,69.42,69.40,69.37,69.35,69.33,69.31,69.28,69.26,69.24,69.21,69.19,69.16,69.14,69.12,69.09,69.07,69.04,69.02,68.99,68.97,68.94,68.92,68.89,68.87,68.84,68.82,68.79,68.76,68.74,~26s
