,,42,41,40,39,38,37,36,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,
RANGE,"CHARGE ↓ , ΔELE →",-205m,-200m,-195m,-190m,-185m,-180m,-175m,-170m,-165m,-160m,-155m,-150m,-145m,-140m,-135m,-130m,-125m,-120m,-115m,-110m,-105m,-100m,-95m,-90m,-85m,-80m,-75m,-70m,-65m,-60m,-55m,-50m,-45m,-40m,-35m,-30m,-25m,-20m,-15m,-10m,-05m,00m,ETA
50m,70 m/s C0,87.56,87.55,87.54,87.54,87.53,87.52,87.51,87.5,87.49,87.49,87.48,87.47,87.46,87.45,87.44,87.43,87.42,87.41,87.4,87.39,87.38,87.37,87.36,87.35,87.34,87.33,87.32,87.31,87.3,87.28,87.27,87.26,87.25,87.24,87.22,87.21,87.2,87.18,87.17,87.16,87.14,87.13,~14s
100m,70 m/s C0,85.08,85.07,85.05,85.04,85.02,85,84.99,84.97,84.95,84.94,84.92,84.9,84.88,84.87,84.85,84.83,84.81,84.79,84.77,84.75,84.73,84.71,84.69,84.67,84.65,84.63,84.6,84.58,84.56,84.54,84.51,84.49,84.47,84.44,84.42,84.39,84.36,84.34,84.31,84.28,84.25,84.23,~14s
150m,70 m/s C0,82.54,82.51,82.49,82.47,82.44,82.42,82.39,82.37,82.34,82.32,82.29,82.27,82.24,82.21,82.18,82.16,82.13,82.1,82.07,82.04,82.01,81.98,81.95,81.92,81.89,81.86,81.82,81.79,81.76,81.72,81.69,81.65,81.62,81.58,81.54,81.51,81.47,81.43,81.39,81.35,81.3,81.26,~14s
200m,70 m/s C0,79.87,79.84,79.81,79.78,79.75,79.72,79.68,79.65,79.62,79.58,79.55,79.52,79.48,79.45,79.41,79.37,79.34,79.3,79.26,79.22,79.18,79.14,79.1,79.06,79.02,78.98,78.94,78.89,78.85,78.8,78.76,78.71,78.66,78.62,78.57,78.52,78.47,78.41,78.36,78.31,78.25,78.2,~13s
250m,70 m/s C0,77.04,77,76.96,76.92,76.88,76.85,76.81,76.76,76.72,76.68,76.64,76.6,76.56,76.51,76.47,76.42,76.38,76.33,76.29,76.24,76.19,76.14,76.09,76.04,75.99,75.94,75.89,75.83,75.78,75.72,75.67,75.61,75.55,75.49,75.43,75.37,75.31,75.25,75.18,75.12,75.05,74.98,~13s
300m,70 m/s C0,73.95,73.91,73.86,73.82,73.77,73.73,73.68,73.63,73.59,73.54,73.49,73.44,73.39,73.34,73.28,73.23,73.18,73.12,73.07,73.01,72.96,72.9,72.84,72.78,72.72,72.66,72.6,72.54,72.48,72.41,72.34,72.28,72.21,72.14,72.07,72,71.93,71.85,71.78,71.7,71.62,71.54,~13s
350m,70 m/s C0,70.5,70.45,70.4,70.35,70.29,70.24,70.19,70.13,70.08,70.02,69.97,69.91,69.85,69.79,69.73,69.67,69.61,69.55,69.49,69.43,69.36,69.3,69.23,69.17,69.1,69.03,68.96,68.89,68.81,68.74,68.67,68.59,68.51,68.44,68.36,68.28,68.19,68.11,68.02,67.94,67.85,67.76,~13s
400m,70 m/s C0,66.44,66.38,66.33,66.27,66.21,66.15,66.09,66.03,65.97,65.91,65.85,65.78,65.72,65.65,65.59,65.52,65.45,65.39,65.32,65.25,65.17,65.1,65.03,64.96,64.88,64.8,64.73,64.65,64.57,64.49,64.4,64.32,64.23,64.15,64.06,63.97,63.88,63.78,63.69,63.59,63.5,63.4,~12s
450m,70 m/s C0,61.18,61.11,61.05,60.99,60.93,60.86,60.8,60.73,60.66,60.6,60.53,60.46,60.39,60.32,60.25,60.17,60.1,60.03,59.95,59.87,59.8,59.72,59.64,59.56,59.47,59.39,59.31,59.22,59.13,59.04,58.95,58.86,58.77,58.68,58.58,58.48,58.38,58.28,58.18,58.08,57.97,57.86,~12s
500m,140 m/s C1,83.08,83.08,83.07,83.06,83.05,83.05,83.04,83.03,83.02,83.02,83.01,83,82.99,82.99,82.98,82.97,82.96,82.95,82.95,82.94,82.93,82.92,82.91,82.91,82.9,82.89,82.88,82.87,82.87,82.86,82.85,82.84,82.83,82.82,82.81,82.81,82.8,82.79,82.78,82.77,82.76,82.75,~28s
550m,140 m/s C1,82.37,82.37,82.36,82.35,82.34,82.33,82.32,82.32,82.31,82.3,82.29,82.28,82.27,82.27,82.26,82.25,82.24,82.23,82.22,82.21,82.2,82.2,82.19,82.18,82.17,82.16,82.15,82.14,82.13,82.12,82.11,82.11,82.1,82.09,82.08,82.07,82.06,82.05,82.04,82.03,82.02,82.01,~28s
600m,140 m/s C1,81.66,81.65,81.64,81.63,81.62,81.61,81.6,81.59,81.59,81.58,81.57,81.56,81.55,81.54,81.53,81.52,81.51,81.5,81.49,81.48,81.47,81.46,81.45,81.44,81.43,81.42,81.42,81.41,81.4,81.39,81.38,81.37,81.36,81.34,81.33,81.32,81.31,81.3,81.29,81.28,81.27,81.26,~28s
650m,140 m/s C1,80.93,80.92,80.91,80.9,80.89,80.89,80.88,80.87,80.86,80.85,80.84,80.83,80.82,80.81,80.8,80.79,80.78,80.77,80.76,80.75,80.74,80.72,80.71,80.7,80.69,80.68,80.67,80.66,80.65,80.64,80.63,80.62,80.61,80.6,80.59,80.57,80.56,80.55,80.54,80.53,80.52,80.51,~28s
700m,140 m/s C1,80.2,80.19,80.18,80.17,80.16,80.15,80.14,80.13,80.12,80.11,80.1,80.09,80.08,80.07,80.06,80.04,80.03,80.02,80.01,80,79.99,79.98,79.97,79.96,79.95,79.93,79.92,79.91,79.9,79.89,79.88,79.86,79.85,79.84,79.83,79.82,79.81,79.79,79.78,79.77,79.76,79.75,~28s
750m,140 m/s C1,79.46,79.45,79.44,79.43,79.42,79.41,79.4,79.39,79.38,79.36,79.35,79.34,79.33,79.32,79.31,79.3,79.28,79.27,79.26,79.25,79.24,79.23,79.21,79.2,79.19,79.18,79.16,79.15,79.14,79.13,79.12,79.1,79.09,79.08,79.07,79.05,79.04,79.03,79.01,79,78.99,78.98,~28s
800m,140 m/s C1,78.72,78.7,78.69,78.68,78.67,78.66,78.65,78.63,78.62,78.61,78.6,78.59,78.57,78.56,78.55,78.54,78.52,78.51,78.5,78.49,78.48,78.46,78.45,78.44,78.42,78.41,78.4,78.39,78.37,78.36,78.35,78.33,78.32,78.31,78.29,78.28,78.27,78.25,78.24,78.23,78.21,78.2,~27s
850m,140 m/s C1,77.96,77.95,77.93,77.92,77.91,77.9,77.88,77.87,77.86,77.85,77.83,77.82,77.81,77.8,77.78,77.77,77.76,77.74,77.73,77.72,77.7,77.69,77.68,77.66,77.65,77.64,77.62,77.61,77.6,77.58,77.57,77.55,77.54,77.53,77.51,77.5,77.48,77.47,77.45,77.44,77.43,77.41,~27s
900m,140 m/s C1,77.19,77.18,77.16,77.15,77.14,77.13,77.11,77.1,77.09,77.07,77.06,77.05,77.03,77.02,77,76.99,76.98,76.96,76.95,76.94,76.92,76.91,76.89,76.88,76.87,76.85,76.84,76.82,76.81,76.79,76.78,76.76,76.75,76.73,76.72,76.7,76.69,76.67,76.66,76.64,76.63,76.61,~27s
950m,140 m/s C1,76.41,76.4,76.38,76.37,76.36,76.34,76.33,76.31,76.3,76.29,76.27,76.26,76.24,76.23,76.22,76.2,76.19,76.17,76.16,76.14,76.13,76.11,76.1,76.08,76.07,76.05,76.04,76.02,76.01,75.99,75.98,75.96,75.95,75.93,75.92,75.9,75.88,75.87,75.85,75.84,75.82,75.8,~27s
1000m,140 m/s C1,75.62,75.6,75.59,75.57,75.56,75.55,75.53,75.52,75.5,75.49,75.47,75.46,75.44,75.43,75.41,75.4,75.38,75.37,75.35,75.34,75.32,75.31,75.29,75.28,75.26,75.24,75.23,75.21,75.2,75.18,75.16,75.15,75.13,75.12,75.1,75.08,75.07,75.05,75.03,75.02,75,74.98,~27s
1050m,140 m/s C1,74.81,74.79,74.78,74.76,74.75,74.73,74.72,74.7,74.69,74.67,74.66,74.64,74.63,74.61,74.6,74.58,74.57,74.55,74.53,74.52,74.5,74.49,74.47,74.45,74.44,74.42,74.4,74.39,74.37,74.35,74.34,74.32,74.3,74.29,74.27,74.25,74.24,74.22,74.2,74.18,74.17,74.15,~27s
1100m,140 m/s C1,73.99,73.97,73.96,73.94,73.92,73.91,73.89,73.88,73.86,73.85,73.83,73.81,73.8,73.78,73.76,73.75,73.73,73.72,73.7,73.68,73.67,73.65,73.63,73.62,73.6,73.58,73.56,73.55,73.53,73.51,73.49,73.48,73.46,73.44,73.42,73.41,73.39,73.37,73.35,73.33,73.32,73.3,~27s
1150m,140 m/s C1,73.15,73.13,73.11,73.1,73.08,73.06,73.05,73.03,73.02,73,72.98,72.97,72.95,72.93,72.92,72.9,72.88,72.86,72.85,72.83,72.81,72.8,72.78,72.76,72.74,72.72,72.71,72.69,72.67,72.65,72.63,72.62,72.6,72.58,72.56,72.54,72.52,72.51,72.49,72.47,72.45,72.43,~27s
1200m,140 m/s C1,72.29,72.27,72.25,72.24,72.22,72.2,72.18,72.17,72.15,72.13,72.12,72.1,72.08,72.06,72.05,72.03,72.01,71.99,71.98,71.96,71.94,71.92,71.9,71.89,71.87,71.85,71.83,71.81,71.79,71.77,71.76,71.74,71.72,71.7,71.68,71.66,71.64,71.62,71.6,71.58,71.56,71.54,~27s
1250m,140 m/s C1,71.4,71.39,71.37,71.35,71.33,71.32,71.3,71.28,71.26,71.25,71.23,71.21,71.19,71.17,71.16,71.14,71.12,71.1,71.08,71.06,71.05,71.03,71.01,70.99,70.97,70.95,70.93,70.91,70.89,70.87,70.86,70.84,70.82,70.8,70.78,70.76,70.74,70.72,70.7,70.68,70.66,70.64,~26s
1300m,140 m/s C1,70.5,70.48,70.46,70.44,70.43,70.41,70.39,70.37,70.35,70.33,70.32,70.3,70.28,70.26,70.24,70.22,70.2,70.19,70.17,70.15,70.13,70.11,70.09,70.07,70.05,70.03,70.01,69.99,69.97,69.95,69.93,69.91,69.89,69.87,69.85,69.83,69.81,69.79,69.77,69.75,69.73,69.7,~26s
1350m,140 m/s C1,69.56,69.55,69.53,69.51,69.49,69.47,69.45,69.43,69.42,69.4,69.38,69.36,69.34,69.32,69.3,69.28,69.26,69.24,69.22,69.2,69.18,69.16,69.14,69.12,69.1,69.08,69.06,69.04,69.02,69,68.98,68.96,68.94,68.92,68.9,68.88,68.85,68.83,68.81,68.79,68.77,68.75,~26s
1400m,140 m/s C1,68.6,68.58,68.56,68.54,68.52,68.5,68.49,68.47,68.45,68.43,68.41,68.39,68.37,68.35,68.33,68.31,68.29,68.27,68.25,68.23,68.21,68.19,68.17,68.15,68.13,68.1,68.08,68.06,68.04,68.02,68,67.98,67.96,67.93,67.91,67.89,67.87,67.85,67.82,67.8,67.78,67.76,~26s
1450m,140 m/s C1,67.6,67.58,67.56,67.54,67.52,67.5,67.48,67.46,67.44,67.42,67.4,67.38,67.36,67.34,67.32,67.3,67.28,67.26,67.24,67.22,67.2,67.18,67.15,67.13,67.11,67.09,67.07,67.05,67.03,67,66.98,66.96,66.94,66.92,66.89,66.87,66.85,66.83,66.8,66.78,66.76,66.73,~26s
1500m,140 m/s C1,66.56,66.54,66.52,66.5,66.48,66.46,66.44,66.42,66.4,66.38,66.36,66.34,66.32,66.29,66.27,66.25,66.23,66.21,66.19,66.17,66.15,66.12,66.1,66.08,66.06,66.04,66.02,65.99,65.97,65.95,65.93,65.9,65.88,65.86,65.83,65.81,65.79,65.77,65.74,65.72,65.7,65.67,~26s
1550m,140 m/s C1,65.47,65.45,65.43,65.41,65.39,65.37,65.35,65.33,65.31,65.29,65.26,65.24,65.22,65.2,65.18,65.16,65.14,65.11,65.09,65.07,65.05,65.03,65,64.98,64.96,64.94,64.91,64.89,64.87,64.85,64.82,64.8,64.78,64.75,64.73,64.71,64.68,64.66,64.63,64.61,64.59,64.56,~25s
1600m,140 m/s C1,64.33,64.31,64.29,64.26,64.24,64.22,64.2,64.18,64.16,64.14,64.12,64.09,64.07,64.05,64.03,64.01,63.98,63.96,63.94,63.92,63.89,63.87,63.85,63.83,63.8,63.78,63.76,63.73,63.71,63.69,63.66,63.64,63.62,63.59,63.57,63.54,63.52,63.49,63.47,63.45,63.42,63.4,~25s
1650m,140 m/s C1,63.12,63.09,63.07,63.05,63.03,63.01,62.99,62.96,62.94,62.92,62.9,62.88,62.85,62.83,62.81,62.79,62.76,62.74,62.72,62.7,62.67,62.65,62.63,62.6,62.58,62.56,62.53,62.51,62.48,62.46,62.44,62.41,62.39,62.36,62.34,62.31,62.29,62.26,62.24,62.21,62.19,62.16,~25s
1700m,140 m/s C1,61.82,61.8,61.78,61.75,61.73,61.71,61.69,61.67,61.64,61.62,61.6,61.58,61.55,61.53,61.51,61.48,61.46,61.44,61.41,61.39,61.37,61.34,61.32,61.3,61.27,61.25,61.22,61.2,61.17,61.15,61.13,61.1,61.08,61.05,61.03,61,60.98,60.95,60.92,60.9,60.87,60.85,~24s
1750m,140 m/s C1,60.42,60.4,60.37,60.35,60.33,60.31,60.28,60.26,60.24,60.21,60.19,60.17,60.14,60.12,60.1,60.07,60.05,60.03,60,59.98,59.95,59.93,59.91,59.88,59.86,59.83,59.81,59.78,59.76,59.73,59.71,59.68,59.66,59.63,59.61,59.58,59.56,59.53,59.5,59.48,59.45,59.42,~24s
1800m,140 m/s C1,58.87,58.85,58.83,58.8,58.78,58.76,58.74,58.71,58.69,58.67,58.64,58.62,58.59,58.57,58.55,58.52,58.5,58.47,58.45,58.43,58.4,58.38,58.35,58.33,58.3,58.28,58.25,58.23,58.2,58.18,58.15,58.12,58.1,58.07,58.05,58.02,57.99,57.97,57.94,57.91,57.89,57.86,~24s
1850m,140 m/s C1,57.13,57.1,57.08,57.06,57.03,57.01,56.99,56.96,56.94,56.91,56.89,56.87,56.84,56.82,56.79,56.77,56.74,56.72,56.69,56.67,56.64,56.62,56.59,56.57,56.54,56.52,56.49,56.47,56.44,56.42,56.39,56.36,56.34,56.31,56.28,56.26,56.23,56.2,56.18,56.15,56.12,56.09,~23s
